feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,label,subject_id
-22664.785397399923,-22667.366473172784,-22683.874445094487,-22734.04282361044,-22710.832218767107,-22740.32190891704,-22740.851839118193,-22724.541835315504,-22717.834456665605,-22730.09325306459,-22841.317616825676,-22845.099446793585,-22820.57275535478,-22841.271499547867,-22838.118877419107,-22831.480536086066,-22809.782635400174,-22808.371353151404,-22849.165738554606,-22830.442308739614,-22817.13750090949,-22862.902300622947,-22842.957153089366,-22833.181934917768,-22813.817636088115,-22841.38101669525,-22808.59091515077,-22827.310737476775,-22833.100629799763,-22810.682189383428,-22813.326604579557,-22828.71281659525,-22841.525337776577,-22849.74427924703,-22850.612277841596,-22858.532283118642,-22846.99106630362,-22841.944812024038,-22823.66934522831,-22851.552021558004,-22849.481200364262,-22856.514169579303,-22853.651173892016,-22838.345392939962,-22866.987723094393,-22859.326641086427,-22851.403048992193,-22847.470086611553,-22842.366151305443,-22846.228404967205,-22829.385714619006,-22819.227705432942,-22806.0374201761,-22805.652120932104,-22811.254903978574,-22812.60113605867,-22798.40690016278,-22812.07072645856,-22813.353401018205,-22802.737165894952,-22793.25534789484,-22782.147005109695,-22784.24084437417,-22798.522284369672,-22795.877791244293,-22765.260838363847,-22783.271974765532,-22772.976069613444,-22760.928060152448,-22764.11924096958,-22748.35385517683,-22763.66446837961,-22766.359407896576,-22749.209237397943,-22742.308640357525,-22719.06238784058,-22718.659556858955,-22709.26505845488,-22710.51699981013,-22709.292814066524,-22677.79392295772,-22698.552128279694,-22712.775034120987,-22673.575213168016,-22678.37658296122,-22668.132506566548,-22645.84758900249,-22636.790119792004,-22606.74032844436,-22651.665970713326,-22679.670090086944,-22665.922250096944,-22609.604272100052,-22550.889782715098,-22535.143292208042,-22538.217223428448,-22554.35079872014,-22551.85595467481,-22568.56957038401,-22570.252637927628,-22571.191299115377,-22564.542632893943,-22591.220768327297,-22592.340089391848,-22627.384487273994,-22604.65390063691,-22617.69550133487,-22615.536777263445,-22578.326500354247,-22590.41406051781,-22569.56295343343,-22574.26169917367,-22581.54063655628,-22584.777062128218,-22578.000618965823,-22601.62550176964,-22611.543583491148,-22590.194824579965,-22598.67874761364,-22591.178884242036,-22618.26658995838,-22637.239628069037,-22632.63996244985,-22614.32946975487,-22629.806480914933,-22611.34538389152,-22607.087950910496,-22615.424815751274,-22601.640404533293,-22642.352214245257,-22660.71721561045,-22656.375536696683,-22648.780878971767,-22638.308920660173,-22657.712081669215,0,EEG_DS_Struct_0102
-15454.43221367453,-15453.789341914175,-15463.365902692518,-15507.5293633925,-15481.339692159825,-15516.539102088775,-15534.643626595947,-15534.667920102114,-15521.331423855565,-15519.639399147292,-15594.775716461687,-15598.614288033134,-15576.588575557045,-15592.623627458392,-15595.251085295307,-15593.032637507004,-15579.737140784538,-15578.398126010901,-15608.446737767707,-15591.855467507045,-15580.479823519232,-15616.790468296125,-15607.660760514796,-15607.048613558765,-15594.209745884082,-15626.152264542781,-15612.050916297643,-15625.825576629304,-15629.919959014624,-15613.51250491108,-15618.53055585349,-15627.96998520804,-15640.240203317118,-15643.391518051763,-15644.066698249364,-15646.782022132433,-15631.020941016986,-15626.436351566112,-15616.770718517242,-15630.04666375571,-15626.313287343854,-15620.248582207429,-15616.094450855902,-15598.370383149431,-15625.94537889862,-15614.318835701008,-15610.24573340161,-15606.561244703358,-15614.647161768946,-15621.272946765399,-15605.955962757802,-15599.229480050582,-15576.78846126588,-15576.401678472843,-15588.80114565519,-15584.31935738769,-15569.35981744364,-15576.549643378616,-15568.754193736457,-15561.627972509825,-15562.601394428484,-15566.274361095582,-15577.030495561672,-15595.587597576134,-15593.09699552837,-15579.264374655486,-15587.890431963799,-15576.88380216719,-15565.197067769013,-15562.565783649881,-15545.754720034163,-15564.955487166319,-15566.138410836127,-15558.721877700887,-15559.159068254014,-15547.06464567775,-15564.74518023557,-15564.118020969725,-15567.207856969315,-15571.588559956888,-15553.669959097671,-15572.108417537627,-15579.507947124594,-15539.258745742423,-15551.388288812712,-15556.634479344137,-15548.447029544937,-15547.277635689727,-15529.614350538483,-15583.663128984239,-15581.559236018284,-15565.984725423134,-15567.770793423011,-15573.245001211273,-15567.480905430759,-15564.309172507115,-15588.418232683422,-15566.262195707372,-15564.48250646985,-15559.07429644343,-15559.845495436486,-15551.24450436077,-15569.604884431708,-15551.951272384342,-15578.318472982264,-15553.738251796316,-15557.55591186124,-15552.159361744638,-15526.993742083312,-15549.600939075146,-15548.602371904304,-15547.033401480103,-15549.20441789814,-15549.30624961111,-15542.092209932098,-15561.413916550813,-15565.404531823131,-15544.16963003538,-15552.93202484346,-15542.302490130873,-15562.6167654694,-15574.99880869055,-15572.000702331725,-15564.294697584413,-15589.300485812935,-15587.36892371358,-15596.65786699277,-15602.03773058038,-15584.44448606305,-15604.929061382318,-15615.059991798122,-15615.652655369648,-15621.88279316195,-15614.909306951227,-15641.739269519036,0,EEG_DS_Struct_0102
-12283.336629225458,-12267.66967378867,-12274.712996798926,-12357.662066749055,-12294.301275255966,-12323.865813773224,-12339.385137916432,-12374.668666166688,-12330.765649254043,-12335.847530387682,-12396.958679913936,-12416.661722356075,-12376.206546985757,-12395.62976052113,-12403.092939395785,-12395.446859377531,-12370.380489983085,-12363.460630055284,-12402.992430226115,-12387.364002690603,-12374.789258646897,-12422.840017669643,-12415.387735282055,-12412.097967810441,-12382.72399692207,-12420.273442850845,-12409.620080661942,-12424.407099794082,-12420.04200560908,-12402.005965280578,-12408.483638784948,-12419.354697345938,-12430.207315541,-12426.061812513233,-12416.884997468123,-12436.114115664424,-12421.311863295094,-12417.159074973062,-12404.275253780186,-12429.223383818142,-12425.508349137514,-12421.495760088193,-12410.380410841384,-12397.140720235255,-12431.00360442382,-12413.491227356453,-12411.048024298681,-12395.567561199066,-12389.315705090847,-12397.315995553543,-12377.28048795669,-12370.004901695913,-12348.990113135993,-12354.208618731745,-12368.770801452827,-12362.432939480985,-12340.08661247403,-12346.958228578877,-12340.972831387864,-12340.98832087607,-12342.183953667169,-12340.673282176183,-12353.388459858585,-12375.059839450016,-12379.503766285168,-12360.901205186992,-12377.317049437639,-12361.296132924479,-12346.281056654047,-12339.23092316849,-12314.771029315143,-12340.74032470806,-12337.032474474725,-12321.344852635137,-12314.571463635903,-12296.447739938401,-12312.332737151954,-12303.59358755991,-12292.293339037435,-12286.041139119063,-12251.695978133412,-12273.378639694934,-12298.456953512745,-12261.54984545196,-12281.128590297396,-12283.236582960513,-12269.737877517324,-12262.095773600844,-12238.546601532584,-12312.98963392569,-12317.628551906699,-12300.647078158954,-12258.636873686764,-12262.016522374055,-12250.224643881482,-12240.81549668031,-12239.285627542582,-12216.004762373552,-12214.402854116208,-12218.525026403271,-12223.8411230861,-12217.175950030209,-12236.224721805676,-12205.974419939916,-12243.286749342076,-12212.61129561628,-12208.539711360132,-12193.963135748225,-12173.58969847503,-12201.596706587143,-12198.342309900978,-12195.955334792377,-12186.637393907013,-12173.97355236005,-12152.308447369564,-12159.542406176555,-12162.567011376306,-12142.81101336872,-12163.997855388974,-12153.771136778872,-12180.409677601852,-12196.450703527637,-12197.493358311198,-12188.57717921341,-12222.128024971957,-12214.886342452894,-12228.117114578015,-12238.16049941531,-12216.419265936574,-12240.421920565164,-12242.629552501683,-12236.150286279817,-12234.137366453593,-12218.908590845096,-12250.633690962579,0,EEG_DS_Struct_0102
10138.53229974808,10113.694943756138,10085.573493825561,10082.460648786753,10062.998699777774,10049.074767039468,10061.504688914087,10077.37094389166,10029.32725214592,10043.438597153732,10005.736341273265,10004.625089856489,10021.675638551293,10009.603458276664,10002.405343900042,10006.408564930107,10013.882367681676,10009.779678691675,10002.094868931092,10010.704896019464,10016.8413556301,9986.357409672908,9986.974343246051,9977.223932455614,9981.284537396506,9965.564155558033,9971.617766825508,9966.670291283552,9973.537316787413,9982.607371563134,9979.070034613962,9968.969309276694,9991.81529192535,9986.915496117963,9972.870903759394,9968.723779314545,9967.778951008806,9965.2140604181,9965.965362840847,9961.91832371213,9957.882677647645,9956.937483179589,9959.51237671696,9962.537489202305,9947.96296889812,9961.845410779955,9968.836276393668,9974.819642180326,9973.384183353226,9973.422005018248,9988.64108370823,10005.5657591728,10026.73547095939,10033.506616513952,10036.03054359296,10038.329718410781,10050.885829222634,10056.546412109794,10063.470072595032,10075.562402082267,10083.608324796762,10091.543652004315,10085.851916501279,10082.229858562896,10085.393945333293,10088.288189921957,10089.248759700791,10095.213809102896,10106.164753638936,10105.119419133918,10109.661193349017,10109.017230356967,10112.176200134149,10121.371582860282,10129.779251047983,10134.470266133409,10128.657058671683,10136.763990668263,10138.562606006373,10139.400972288713,10138.98959521519,10132.552186936544,10129.679471183665,10148.217741277684,10150.086587656853,10156.259819920218,10161.110204228467,10161.849914581353,10169.58746866041,10160.501233750052,10161.506961549301,10179.889593866392,10175.01813296517,10182.793910338318,10190.65578908698,10198.16777512642,10180.184095979554,10204.97198569405,10213.611859108383,10221.180507548463,10226.386373820782,10230.273655994815,10228.831281911958,10232.40607079396,10225.436791517313,10242.723219403102,10250.281775580852,10268.057196447344,10278.861304590486,10270.212255343264,10271.648014929957,10273.673518215726,10268.833569016244,10266.907458469725,10277.890675431114,10279.591747203853,10277.010501045608,10289.09923873012,10289.264375257433,10284.716857453574,10278.611228044088,10268.25602669579,10269.338046316136,10277.170157273818,10272.981502069573,10265.885970275081,10254.809631889619,10239.518080439957,10240.338125839824,10231.120294212878,10229.512751760056,10225.418265889519,10222.873938721963,10226.52673587328,10221.401742760037,0,EEG_DS_Struct_0102
12984.691844490495,12971.337065561935,12956.009952526885,12946.442228502383,12941.030754756159,12929.598565227921,12924.814484393284,12929.610321715587,12921.59631847729,12924.519567452042,12894.34697265189,12894.46183867033,12899.99419668372,12893.706671291411,12889.179941103062,12885.874415315584,12889.406001887686,12882.750299121433,12871.70601293356,12873.00930523095,12873.267665810943,12857.625013407833,12863.621348735069,12864.87803406228,12860.500319193063,12846.510855126873,12852.664065559697,12850.262593582647,12857.858804459152,12868.686082204405,12865.931842694506,12860.080233251925,12850.467581580353,12846.114551116352,12833.354291484053,12835.738981380384,12843.833170451104,12847.494821355798,12852.705768318438,12845.882317444615,12841.514385241053,12832.80535333826,12831.827704802534,12836.174996886904,12822.254947712408,12830.304995143491,12833.732338416881,12840.085287519592,12838.972919023914,12836.40671908573,12842.65468366332,12845.789392320363,12859.321571803885,12861.99026107769,12863.389233076121,12868.729393508105,12870.531410373285,12868.880544416817,12884.30065694299,12886.702634787256,12883.618087551742,12880.528406032483,12873.999625230628,12865.11480184001,12860.654935341416,12862.12470727226,12855.436503714856,12855.656829134152,12857.561531994663,12850.180267808128,12848.688264683262,12842.287684545128,12848.102397380722,12857.219599519307,12862.329288139617,12867.638567270249,12862.49140612425,12865.164239748136,12866.240889411398,12868.552438663342,12873.65360217332,12869.752220711092,12866.706972279419,12882.278090096699,12876.630302970565,12875.219079492932,12876.155466159547,12879.118677135239,12887.395752342409,12882.461636584767,12887.083071403895,12893.230414252776,12888.303942736571,12883.271276005149,12889.992336989824,12908.636353875783,12895.453641889993,12912.630958716278,12918.709147011463,12925.56842410909,12931.882111495705,12934.805668462755,12925.989028660393,12918.255563933497,12907.1825961532,12916.669251528747,12921.092979029438,12933.084360785502,12940.21053205947,12935.313099636272,12940.67799579931,12940.914938208083,12932.93205217662,12926.854297394048,12926.089565885362,12916.939179086574,12912.187088843859,12917.898358525399,12914.58730435811,12912.487932733791,12903.761544396515,12886.252213520424,12877.10346604823,12875.236838101706,12866.562614586588,12861.77536211847,12850.953755728626,12849.573685531801,12856.1041454004,12848.96907759555,12843.199620846164,12833.08347401779,12829.405466847082,12836.768479259626,12837.864402305537,0,EEG_DS_Struct_0102
-24926.640313263157,-25298.253932868833,-25200.306264477,-25032.09225266727,-24923.273385495246,-24730.59146813703,-24654.700840715366,-24635.765589881466,-24626.79811670616,-24623.652485184204,-24612.879820085902,-24611.115362315042,-24590.133268750527,-24579.96348996213,-24560.065010112972,-24572.438531767795,-24587.26346953503,-24608.490825793087,-24613.88819896512,-24604.41848576533,-24597.73460737758,-24592.258404944652,-24570.591293051686,-24567.00027856955,-24665.857528345772,-24726.77783865324,-24662.330382472588,-24579.6781445746,-24510.420546877416,-24457.90451807159,-24461.40941057409,-24473.185396745317,-24500.02287967245,-24515.634367521183,-24510.428196437493,-24507.92496853243,-24626.880691661972,-24660.790775490892,-24757.166144868035,-24980.594566158812,-24960.796500313445,-21414.651727083077,-21381.7696730893,-21348.003629091418,-21301.472381853127,-21263.983597030605,-21245.289666297867,-21219.05927420039,-21206.738777902952,-21193.583684149176,-21171.88767321849,-21186.75673354071,-21183.103016896766,-21175.801209927155,-21177.032423746365,-21184.166631110176,-21184.21113675365,-21142.3209990209,-21171.125731228105,-21192.947698973487,-21171.027274025622,-21179.117800501757,-21175.565272960295,-21134.332798345717,-21083.30980661948,-21126.47980678336,-21136.90408309281,-21152.380874475057,-21152.616906142222,-21117.78823862628,-21155.221211660828,-21153.273446134885,-21119.328767391224,-21110.508245301717,-21123.977265263245,-21137.910156475176,-21118.533087405634,-21097.939241291737,-21132.936506024787,-21160.881168564512,-21156.30553023163,-21159.240403631735,-21152.191554994548,-21102.138814920083,-21102.668608991004,-21120.891865094567,-21139.68020002161,-21147.12570842931,-21145.094974065352,-21148.463190402803,-21145.880084927307,-21143.553164740868,-21079.404256759422,-21099.886352722355,-21106.191657418563,-21083.47876973798,-21121.16105687594,-21133.012987021008,-21130.719935344594,-21122.98719113951,-21118.057397571523,-21125.73002595913,-21148.22519530568,-21141.98207759011,-21160.69853184168,-21176.23640605783,-21167.773262375256,-21136.77617694695,-21162.61754368292,-21249.00811719101,-21218.340479512746,-21179.63758685701,-21130.360220100447,-21163.893875564536,-21101.78655960342,-21153.515305230132,-21189.211759634414,-21158.550711006916,-21107.895147744726,-21049.465239098754,-21047.07688770081,-21036.5219233283,-21034.528563941105,-21003.904267018836,-21029.681023485293,-21047.06380342776,-21056.351311488103,-21061.486732604182,-21089.623256694005,-21083.81710077252,-21144.0308249376,-21155.34982197936,-21148.44260859915,-21130.467973304967,-21124.554460714822,1,EEG_DS_Struct_0102
-17778.052139830583,-17999.868324208204,-17824.157153458204,-17753.620099081258,-17701.680465989408,-17584.882693001382,-17551.890319034293,-17565.485861508987,-17563.804563993872,-17566.64290312969,-17563.811639375323,-17583.05068716881,-17585.823199857983,-17582.454385878456,-17563.868937337385,-17574.90307326324,-17581.712109542732,-17593.04507317951,-17599.138727893307,-17592.99856699127,-17599.92544535949,-17580.33873978174,-17569.802545052615,-17586.032574978697,-17598.564738556408,-17590.618994960972,-17601.375680411136,-17607.978395435628,-17595.350045260442,-17558.004539377896,-17564.907616862318,-17564.440120612893,-17574.44276027483,-17582.342297488784,-17578.222990729108,-17573.600360165594,-17647.762978853134,-17681.58285726203,-17750.43106273269,-17900.6568454031,-17839.334122477838,-15341.599073821637,-15331.200253476845,-15314.17611591907,-15273.169439961815,-15247.56981816414,-15231.92353987982,-15210.92218412202,-15222.43335822247,-15232.86215850168,-15222.692011206056,-15238.682235523938,-15242.883362515315,-15232.53039550805,-15221.471916088274,-15223.02252233394,-15229.092464415337,-15201.949797171432,-15226.17761609448,-15237.070908438425,-15216.838800905907,-15215.157681361594,-15223.418074956178,-15204.5457193415,-15168.486032400997,-15208.590869841071,-15214.623674150605,-15219.555715458397,-15220.323054613958,-15194.478804219307,-15216.850625102405,-15213.271156019053,-15184.958406502785,-15180.287634025863,-15194.42071276725,-15199.012178478273,-15187.492341217054,-15164.486307623893,-15180.43952303654,-15193.975093471876,-15188.024889601698,-15185.571898767545,-15187.256311443049,-15163.001433449,-15171.297803026504,-15181.907353452072,-15190.51532479567,-15183.553470479248,-15183.460100054288,-15189.153993652339,-15199.353416110134,-15204.798996926636,-15161.486249786367,-15180.803534154169,-15181.245998293052,-15160.635390058445,-15183.942103376065,-15190.628631742145,-15191.23728312343,-15196.11503568311,-15199.0252868164,-15203.79070547326,-15207.921546644538,-15200.121426849677,-15216.83161170703,-15225.083316986756,-15221.803889483923,-15216.234553308392,-15207.743105551916,-15209.549696714832,-15208.91413964062,-15203.921994568133,-15185.272146582522,-15214.669735377376,-15191.332087063034,-15202.646451006376,-15206.927544112714,-15212.203017802503,-15200.788800132716,-15193.165357550073,-15201.454154317971,-15190.00450375286,-15196.98324521186,-15177.148803252967,-15197.464355999246,-15201.582932088535,-15198.668996621385,-15195.333483435501,-15203.188826482743,-15172.907466013166,-15202.00370615655,-15218.091037163082,-15228.661381929234,-15229.45737798137,-15230.149909679301,1,EEG_DS_Struct_0102
-12942.96981642253,-13197.79431434267,-13172.650467101326,-13096.198935883782,-13015.470943458942,-12937.038872722023,-12898.853559072235,-12885.427616421111,-12869.55802858023,-12863.457053197373,-12851.490624704555,-12850.605751217425,-12827.791730973771,-12803.552631791299,-12783.956099407147,-12799.609538635645,-12802.914914300582,-12807.422133731665,-12812.534109183502,-12814.783288694909,-12822.277691686972,-12801.020483231407,-12789.727554839148,-12778.906224851193,-12767.126492779558,-12804.22556668575,-12840.75943919693,-12819.406777881346,-12771.120970800028,-12715.409243024016,-12715.234579753049,-12709.279439694646,-12723.599597338993,-12743.446170846088,-12747.489362072894,-12753.537596765915,-12800.017581313086,-12828.40655658265,-12890.876378941552,-12982.20983433601,-12858.384131852792,-10871.737273869203,-10859.222973785323,-10841.024039651898,-10812.753956938359,-10802.492551961843,-10789.45011747839,-10751.947072684448,-10733.665875613528,-10721.101900521076,-10707.386981499929,-10727.168949798357,-10741.553114914408,-10741.967959552705,-10739.402694145105,-10743.618297636918,-10745.932234276457,-10710.623507604094,-10736.393289776855,-10756.262068630338,-10742.750112692807,-10749.096765421125,-10752.136193506374,-10725.234308556073,-10688.274665783847,-10739.89503896566,-10746.991018165212,-10760.989140395703,-10774.493230838514,-10748.973786157894,-10781.947746826088,-10774.361325662652,-10729.435977726862,-10719.05869246877,-10728.417515533318,-10741.680100735159,-10735.979578204579,-10712.184394257563,-10743.487838717072,-10751.661412053063,-10738.528150149561,-10731.716269040828,-10727.29358405369,-10684.849321725596,-10694.134598556353,-10701.050860586853,-10712.700648704202,-10715.71866210407,-10716.190794837688,-10712.560588781836,-10706.333463695419,-10717.178123595031,-10669.608446588372,-10698.519209309256,-10704.395463433231,-10685.366496181317,-10716.741663961673,-10720.885450914811,-10715.756894416065,-10715.994254739928,-10710.024964898794,-10712.520553380453,-10722.59666847757,-10698.533586538764,-10708.136767549575,-10710.74434898053,-10700.452312282005,-10685.13789460318,-10657.598504792559,-10711.5711382502,-10698.483992811403,-10671.195743255234,-10634.067136173458,-10659.222307710826,-10632.163448208186,-10636.770704619514,-10681.27875823002,-10675.595688340401,-10627.860665857981,-10600.286658642388,-10612.929537677264,-10607.748235333713,-10619.091768895263,-10598.280316142276,-10623.84263027661,-10629.383869234514,-10628.32460587757,-10625.518554522443,-10631.442622728868,-10598.497944427632,-10642.117396788386,-10665.436219947613,-10671.876947537796,-10670.207559352459,-10661.741158827177,1,EEG_DS_Struct_0102
2612.772172022843,1989.9522465701734,2534.216861569359,2734.795671832732,2839.6282759243286,3149.673947469358,3176.4569425264835,3171.6938085345496,3176.207013710345,3167.8958923659275,3161.7409756733646,3156.3873984530633,3154.37312409587,3153.8609033837474,3162.945527390516,3159.7138645495606,3153.5484519761217,3146.4484394142946,3142.3744174221215,3137.4671666129325,3128.1552457114944,3128.4376538059555,3123.7419422580074,3118.8371232859263,3101.7996386147292,3083.6630788350103,3066.835358671075,3055.1621988468705,3064.6430393735955,3080.2873701585913,3081.9927507226134,3084.0893458471455,3078.3438875379134,3069.3278641054603,3075.4316078860693,3075.689656343036,2780.423613839923,2669.803120038585,2489.295577717148,2016.0097975864808,2290.7327056567137,10470.262261908132,10470.809091406438,10480.380943378328,10503.525929241612,10510.87231669038,10510.057157755626,10515.108685730329,10516.376353570458,10510.697048551014,10515.0235773542,10516.515067036888,10521.308033560106,10516.2379790504,10517.788110447818,10507.962215540405,10500.60821270057,10512.82282150183,10513.191666049772,10517.274188051551,10528.925078814322,10526.507417496161,10509.902138830146,10516.95136183557,10533.912672673923,10529.279946896468,10530.636552773865,10527.679367034532,10529.954055716542,10529.762854511611,10513.147586649531,10515.359514183738,10530.24954189394,10547.221806776466,10546.542287574326,10544.02551729952,10548.159985068021,10547.788438626012,10538.694461070821,10530.710311686544,10533.991426764394,10537.177126082282,10542.524870189964,10552.168109071168,10549.231080747188,10535.82031588672,10528.870883998718,10524.316824849893,10526.208753923787,10528.618553878694,10530.251586553124,10528.460386639086,10537.355802356486,10520.856483787074,10510.637507433048,10514.119694417388,10498.723883784403,10495.285520303129,10500.867955625403,10503.34399703002,10497.577071930316,10488.18134151026,10470.65056348155,10465.81904532199,10466.245490124844,10466.72538081892,10485.35836584551,10503.326355404592,10511.750552163325,10517.183949154194,10517.991179532408,10514.971303772414,10526.631986806347,10526.383267160521,10535.666265803227,10534.18437263129,10530.861266137777,10529.86694802673,10527.194200295507,10524.5338180102,10518.019078706182,10516.344686165237,10499.362412148084,10513.491139872616,10522.118310236503,10522.915899920137,10530.302155315596,10535.378134700812,10523.495920364949,10532.101006842404,10521.88199429275,10513.875512652428,10512.379167353018,10510.014512576992,10504.1014400491,1,EEG_DS_Struct_0102
7199.874984047386,6794.204735218707,7189.24892942398,7332.642916656223,7408.064234185581,7630.540679516118,7657.8484980684,7656.011443506522,7665.228491641067,7666.190135673547,7661.54563908622,7656.262310041491,7649.024409975085,7638.802648786329,7641.343159343766,7627.110228107303,7620.229340733426,7616.757693973223,7617.061945881504,7616.44678912657,7611.465409138651,7607.79026367354,7605.328315270193,7595.089223146585,7585.602589541583,7590.608717395386,7590.462395843749,7588.5304006311635,7595.726315957297,7601.338862724112,7588.016037160321,7582.548596327342,7576.143720592412,7572.552061307927,7581.051068690224,7586.081839040938,7366.824308427638,7289.571853462462,7154.227873317405,6802.108408646893,6940.543056790845,12740.99574846737,12760.528308478984,12786.296051124255,12826.119590368548,12845.885136612744,12857.362760146058,12866.164422419077,12870.134861548077,12866.17817090583,12865.086024751983,12859.489445014671,12863.476396741175,12872.86948189396,12882.811170567757,12887.94982452633,12880.548514046946,12882.314939612612,12876.770272855973,12875.404809626969,12884.730000077847,12884.707707416605,12881.319925179856,12889.32891827443,12908.253567750977,12900.936604093788,12897.61205275656,12896.141387712738,12891.204937316541,12884.757953373053,12877.883210850781,12888.221060311518,12909.35264606507,12921.846808969298,12924.958632780399,12928.454163076683,12931.747363399074,12925.524685355354,12915.857948207256,12904.465114828103,12910.113449683553,12919.217455704818,12929.500523369217,12943.48714241856,12943.006264411088,12925.45500351211,12912.839344407445,12907.884501503562,12903.039217323114,12901.794777815101,12901.95014905897,12906.924737366775,12916.985204559654,12906.790734006336,12898.3732872026,12897.146670143095,12883.771147976711,12885.564408359154,12887.436948196913,12887.886831200087,12889.275193312984,12883.79114513591,12870.92319057184,12865.48321419868,12864.979927007862,12861.362486408958,12875.01219443517,12893.34442427436,12903.563147341723,12904.673147819505,12913.460418214567,12914.378679839627,12915.62744167315,12903.412746975173,12905.0639798334,12901.821891754042,12898.158510992658,12899.570693396367,12893.059157295978,12898.710385297796,12898.945099230323,12901.254551179223,12897.157802461184,12904.690620014015,12900.101674365917,12895.164575412795,12902.104719536987,12915.436881145397,12908.655707210297,12914.201292397684,12899.000602050097,12890.971670766017,12884.974783950069,12880.94679129202,12881.686202976314,1,EEG_DS_Struct_0102
