feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label,subject_id
-13019.345915025793,-13063.178290326914,-13061.8911996283,-13074.814063438867,-13115.81177679395,-13071.119161849896,-13108.301370361203,-13040.677410991982,-13079.40496112086,0,EEG_DS_Struct_0105
-20066.780237512325,-19987.18692642543,-19891.8018750821,-19986.83159793246,-20137.227475691936,-20166.139232246507,-20241.896169065698,-20219.888921973463,-20244.448848454318,0,EEG_DS_Struct_0105
-12069.896225515648,-12118.739695094668,-12116.619930237495,-12160.882863342917,-12202.633306526955,-12142.25726358786,-12194.614336920888,-12144.371482579589,-12135.484062389072,0,EEG_DS_Struct_0105
8744.212965428715,8775.289883559859,8830.817350240175,8779.422366680761,8781.823095968412,8767.374372140499,8749.740729133719,8765.486024440012,8732.986900311153,0,EEG_DS_Struct_0105
9703.071384011679,9687.10153136368,9685.775110197677,9698.310276252481,9667.804271801275,9672.561777315079,9660.283521858408,9677.437491342194,9669.236609696594,0,EEG_DS_Struct_0105
-17260.089745990073,-18380.560551102175,-18404.048614376334,-18415.84351531564,-18417.350343669626,-17593.87799171012,-17561.98357730983,-17562.505853869017,-17568.501814277002,1,EEG_DS_Struct_0105
-22224.503954710508,-23032.79063138515,-23055.467438988853,-23067.84506079188,-23064.360173321158,-22432.0954418445,-22398.475289921396,-22387.073240076486,-22384.919656972037,1,EEG_DS_Struct_0105
-13116.7523181143,-13776.916821221395,-13786.316893090241,-13789.508262120877,-13782.327355145522,-13227.606232415039,-13214.47282929354,-13214.8173632059,-13212.688554310165,1,EEG_DS_Struct_0105
1600.640270741495,-195.49403860468198,-132.58173679942453,-116.15869666730048,-101.15934772048416,1121.0284321142458,1124.0724729669448,1125.576726316916,1122.5493509708635,1,EEG_DS_Struct_0105
5311.626612287369,3547.165814506477,3587.0294003039594,3601.409707018001,3610.620178508169,4688.7515110910135,4706.5413035999245,4708.246076433296,4704.922771809839,1,EEG_DS_Struct_0105
-15497.951739956778,-15471.71363389455,-15450.215720673716,-15462.046131921845,-15384.34168721909,-15386.988602737381,-15368.775372912689,-15004.076111391725,-14872.06322969504,2,EEG_DS_Struct_0105
-19110.382836007015,-19094.961730361356,-19066.904942172474,-19071.619106714195,-19003.770800417136,-19009.67355668507,-18954.39067094974,-18632.838869820494,-18360.345014850576,2,EEG_DS_Struct_0105
-8770.794617080448,-8772.378082814439,-8738.101517983054,-8746.46946582519,-8659.066704064155,-8652.021264665227,-8605.09272567628,-8242.77903675959,-8028.3822105139825,2,EEG_DS_Struct_0105
5153.463542850416,5164.537805738595,5157.268645151112,5145.166868193291,5156.732651364999,5152.919044619081,5181.381242662097,5298.162389459851,5345.999500064624,2,EEG_DS_Struct_0105
13038.070777164969,13045.128652791676,13046.665740811415,13037.504838352766,13054.523100257145,13047.140998797804,13062.598573449544,13159.267183878226,13186.113175227667,2,EEG_DS_Struct_0105
