feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,label,subject_id
-15828.769214393644,-15799.814992124542,-15738.807054575085,-15740.432080920766,-15737.47037827486,-15729.898696244312,-15748.482132461471,-15724.40939322195,-15733.126834921837,-15771.331007027957,-15815.536272890073,0,EEG_DS_Struct_0106
-18566.7632562907,-18534.616341097786,-18490.680809384277,-18489.491278819532,-18490.449703623573,-18499.246740414554,-18515.429406881627,-18502.919105339308,-18491.78877831765,-18505.83399980324,-18550.874612911568,0,EEG_DS_Struct_0106
-6780.901694534536,-6754.5954515520025,-6721.915892939689,-6723.839004717468,-6718.489409986344,-6736.0120990178775,-6742.599847668324,-6741.192323304071,-6718.699820949354,-6728.188090902433,-6780.881085067333,0,EEG_DS_Struct_0106
5142.2840571255,5145.208806903371,5162.603156536563,5163.585907108357,5161.9091973357445,5175.158931463909,5164.13131465248,5175.820699984206,5161.872667483841,5143.722428940373,5134.272360439092,0,EEG_DS_Struct_0106
13307.823276079122,13316.19938255533,13332.45475878582,13332.122593943099,13323.64517619797,13324.68968289239,13319.62881727366,13330.7593247318,13330.686083834225,13325.711092249814,13307.51308320883,0,EEG_DS_Struct_0106
-20417.57975827904,-20582.735414113733,-20380.650348420433,-20302.3914213344,-20260.790459485415,-20142.943207456647,-20102.206804546557,-20123.960444073364,-20124.394198411635,-20119.96666744671,-20113.30037041738,1,EEG_DS_Struct_0106
-21346.156275378282,-21428.603562111908,-21290.190496550513,-21236.815969423194,-21210.957522086996,-21121.532002195378,-21076.660220665774,-21083.170292168285,-21082.321862267538,-21079.4456605779,-21085.648947252113,1,EEG_DS_Struct_0106
-8942.62945683643,-9034.400236964206,-8917.181025588017,-8861.306953962983,-8826.466567632973,-8753.53995049431,-8700.125444913474,-8708.032602646947,-8704.653908229666,-8696.621614373196,-8691.931845015564,1,EEG_DS_Struct_0106
-2342.6890958140852,-2961.6327108419932,-2607.2204200194024,-2475.799298237805,-2403.2011063699074,-2169.999084386251,-2166.381055482565,-2169.1128535211487,-2164.128520508687,-2156.206643183672,-2155.785466973744,1,EEG_DS_Struct_0106
6735.537731691646,6295.890066387349,6648.865991275065,6780.446599091026,6853.0603422933955,7063.7508688130665,7089.699347390778,7081.857995123967,7077.805565026587,7080.846060082869,7078.284417001588,1,EEG_DS_Struct_0106
-17325.575136212323,-17171.45497490085,-17084.003811298022,-17217.499377525535,-17221.15774631637,-17267.513431913823,-17260.96667302773,-17323.78422861794,-17236.613124330433,-17188.166121088623,-17116.103544017522,2,EEG_DS_Struct_0106
-19763.279925437993,-19539.627884406775,-19373.652388587092,-19497.17959619388,-19482.65495025712,-19535.609898433173,-19542.433348982773,-19686.96736162411,-19622.907919751302,-19533.292758217736,-19532.41765397746,2,EEG_DS_Struct_0106
-5846.53598761111,-5614.539913054656,-5520.440821932398,-5774.313678241876,-5777.665476935268,-5783.757541656849,-5722.408475873372,-5845.221099189702,-5827.720020765272,-5783.0503465424545,-5701.094676400001,2,EEG_DS_Struct_0106
3841.8802736128923,3914.9870077837827,4042.5896361208706,4152.377982089166,4314.110412861748,4326.74866625321,4159.413889831299,4086.0781697563984,4153.037668187867,4224.718489291968,4222.108672935646,2,EEG_DS_Struct_0106
14299.394511802302,14331.714449205745,14333.486360724495,14325.414933498705,14329.028628646502,14309.647570554976,14285.483833935494,14238.948806072302,14246.369556664671,14273.499482995423,14250.953020776744,2,EEG_DS_Struct_0106
