feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,label,subject_id
-20088.494595750937,-20022.97659803643,-20031.325604538,-20029.16411776179,-20065.86787109881,-20040.044967583417,-20042.091788663165,0,EEG_DS_Struct_0201
-31127.520881192635,-31094.869402328983,-31122.58920030826,-31109.696654541833,-31145.794149174675,-31129.09785640572,-31124.113652680466,0,EEG_DS_Struct_0201
-26190.31528886742,-26171.75026931408,-26211.33826982957,-26187.006131447848,-26215.175829180633,-26207.800842336386,-26202.341602752535,0,EEG_DS_Struct_0201
-24947.998077244967,-24925.749018540762,-24909.067970288488,-24934.76387741403,-24944.779842738255,-24945.139578402363,-24938.76542898391,0,EEG_DS_Struct_0201
5084.250826183069,5098.442622629428,5096.38560322751,5094.043309564455,5079.295780621549,5077.579947823039,5067.648080905046,0,EEG_DS_Struct_0201
-23042.152484773836,-23825.508917005674,-23805.113438516993,-23855.667079528885,-23852.633714302403,-23934.819513661198,-24029.13567100586,1,EEG_DS_Struct_0201
-32827.0212665785,-33298.270884079015,-33282.47041469098,-33305.79853612061,-33308.04310457252,-33389.85556067534,-33488.986690194106,1,EEG_DS_Struct_0201
-27656.927958183667,-28083.93084330776,-28061.561762753667,-28034.32997456205,-28012.777108324495,-28066.159422152603,-28147.041105218053,1,EEG_DS_Struct_0201
-29485.7795148968,-31201.36159756702,-31167.527082203353,-30813.18582505507,-30611.596273442767,-30528.948841233778,-30554.747366241147,1,EEG_DS_Struct_0201
-513.553191411833,-2198.612766942653,-2195.8657698427573,-1922.125445494219,-1757.5087495008524,-1688.9317508052054,-1648.9413653853896,1,EEG_DS_Struct_0201
-16901.60254686413,-16880.652879804955,-16588.308058167815,-15953.658899504515,-16156.779762605864,-16182.818197904968,-16264.113758780297,2,EEG_DS_Struct_0201
-28669.14873766371,-28668.400242862263,-28559.89840021326,-28461.342269699555,-28332.609622581167,-28437.5717287441,-28434.112186463033,2,EEG_DS_Struct_0201
-21846.523614700993,-21783.70805035952,-21814.310980780774,-21207.980917785648,-19080.493540487954,-19813.792247878544,-20160.84301028518,2,EEG_DS_Struct_0201
-19712.37324982937,-19816.788124162056,-19682.768018122515,-19793.47072961896,-19843.124699473898,-19803.5847406265,-19747.50913681615,2,EEG_DS_Struct_0201
3173.9871923533424,3251.0360271345617,3221.1930833345136,3162.0342624222544,3243.8006269303287,3277.148261855863,3261.1935717387096,2,EEG_DS_Struct_0201
