feature_1,feature_2,feature_3,feature_4,label,subject_id
-19647.107700131557,-19704.527691504492,-19679.202416834432,-19708.9670864901,0,EEG_DS_Struct_0302
-20254.57641542893,-20310.37406002965,-20299.15234463714,-20324.93097795082,0,EEG_DS_Struct_0302
-17351.95725536316,-17405.45836754142,-17377.54572887833,-17411.747625764998,0,EEG_DS_Struct_0302
3823.9882810247145,3806.6716812102413,3800.9607329623573,3798.794491237697,0,EEG_DS_Struct_0302
4900.4726248015895,4871.309395514117,4905.363842967904,4909.665962670372,0,EEG_DS_Struct_0302
-24083.49598058357,-25074.021722243473,-25067.34263838726,-25023.384115683602,1,EEG_DS_Struct_0302
-23360.841502758627,-24059.45623852558,-24075.09173737231,-24048.729696551025,1,EEG_DS_Struct_0302
-19798.50971494774,-20352.337790552046,-20360.667180808123,-20324.43665809701,1,EEG_DS_Struct_0302
-1312.3317678185622,-2674.3500493422466,-2529.0970988450126,-2485.4978454477905,1,EEG_DS_Struct_0302
356.1716508653986,-1112.8018807248766,-1022.5079377175758,-983.0672668809058,1,EEG_DS_Struct_0302
-21872.191348302058,-21859.083277981637,-21842.820119011845,-21830.063583708565,2,EEG_DS_Struct_0302
-23727.38891364247,-23716.862634382538,-23704.868715367877,-23691.93361049637,2,EEG_DS_Struct_0302
-20183.887106156384,-20153.186181373236,-20139.51761756275,-20116.597855187894,2,EEG_DS_Struct_0302
4592.053497190806,4576.319482248954,4526.906287524591,4540.3865156453,2,EEG_DS_Struct_0302
7212.795413642588,7223.2608152733665,7242.130137857724,7230.522284818516,2,EEG_DS_Struct_0302
