feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label,subject_id
-20171.278955850583,-20170.470846695443,-20145.109198214766,-20180.98041886063,-20180.301385232375,-20129.069162368683,0,EEG_DS_Struct_0303
-25857.186836077788,-25836.448660225054,-25820.71958344093,-25871.421258934588,-25860.944487846013,-25811.231170606447,0,EEG_DS_Struct_0303
-20258.340492468924,-20211.341250575464,-20192.67480364695,-20269.10920809111,-20267.035807348086,-20199.300312128267,0,EEG_DS_Struct_0303
5121.476027042906,5108.354201755595,5127.513457091527,5157.883206865021,5159.23004943427,5174.715362363694,0,EEG_DS_Struct_0303
8831.065991464013,8816.073712474,8828.657360373158,8838.024025397312,8842.831850156423,8856.5667359377,0,EEG_DS_Struct_0303
-24510.810935796184,-25176.155130399435,-24849.094475728638,-24730.613415785243,-24623.793755872277,-24515.992760116544,1,EEG_DS_Struct_0303
-29591.583784411137,-30068.787897917686,-29868.970437747426,-29797.577672990752,-29719.070102509737,-29674.646457774154,1,EEG_DS_Struct_0303
-23553.53783735312,-24024.26895758162,-23878.44481065769,-23831.558742569814,-23752.74669520395,-23735.040036460643,1,EEG_DS_Struct_0303
-1183.504877327189,-2414.2865149049285,-1954.8774804386314,-1783.7608910462493,-1685.5793569617929,-1475.2849269766746,1,EEG_DS_Struct_0303
2589.9824927918135,1545.942768411965,2058.9778235909316,2248.949380722333,2357.2285083024303,2598.762405645451,1,EEG_DS_Struct_0303
-20182.561958485265,-20143.623200523147,-20146.28627279526,-20133.875986272225,-20059.90507937495,-20045.651495228438,2,EEG_DS_Struct_0303
-31119.137627075033,-31086.708996870577,-31082.08811913862,-31065.85845708392,-31045.650354599446,-31012.195595207606,2,EEG_DS_Struct_0303
-22995.889691336855,-22949.202032267858,-22944.946376358468,-22936.27052875743,-22924.90486241602,-22930.565552272143,2,EEG_DS_Struct_0303
4475.413313930376,4493.868058066201,4488.51049366455,4517.48211194043,4561.458069571679,4546.698659433632,2,EEG_DS_Struct_0303
9897.705886426063,9906.832331047875,9872.316332272849,9867.805050561985,9882.219148683089,9898.235296248828,2,EEG_DS_Struct_0303
